id,Type,Nb_chambre,loc,surface,prix
hektor-renardsaulnier-1767,Appartement,3,Montorgueil,86,910000
ag753296-445112915,Appartement,1,Sentier,16,220000
keller-williams-1-34_1_32-178275,Appartement,4,Montorgueil,84,1099000
hektor-br-immobilier-4234,Appartement,3,Montorgueil,78,1150000
keller-williams-1-34_1_32-177724,Appartement,2,Montorgueil,39,535000
hektor-br-immobilier-4213,Appartement,5,Sentier,100,1259000
iad-france-1687083,Appartement,2,Montorgueil,57,695000
era-2-57054392,Appartement,1,Sentier,21,249000
keller-williams-1-34_1_32-177164,Appartement,4,Montorgueil,71,350000
immo-facile-57019834,Appartement,2,Montorgueil,43,595000
keller-williams-1-34_1_32-174205,Appartement,1,Montorgueil,5,60500
netty-september75-appt-2763,Appartement,1,Sentier,24,315000
apimo-85316385,Appartement,4,Gaillon,128,1590000
ag754271-440803997,Appartement,1,Montorgueil,27,360000
iad-france-1676765,Appartement,1,Montorgueil,18,247000
iad-france-1670642,Appartement,2,Gaillon,32,440000
apimo-85304286,Appartement,3,Montorgueil,60,530000
hektor-AGENTISSIMOLAFAYETTE-909,Appartement,2,Montorgueil,34,399000
hektor-DROUOT75009-316,Appartement,2,Montorgueil,37,500000
apimo-85302432,Appartement,4,Gaillon,142,2090000
apimo-85299281,Appartement,2,Montorgueil,55,799000
hektor-PARISLUXURYHOMES-3845,Appartement,2,Montorgueil,32,720000
ag755942-439932707,Appartement,2,Sentier,42,495000
ag756746-439629029,Appartement,5,Montorgueil,88,1190000
keller-williams-1-34_1_32-174434,Appartement,6,Montorgueil,165,1785000
apimo-85262216,Appartement,3,Montorgueil,45,667000
hektor-1857_EXPERTIMO22-174777,Appartement,2,75002 Paris 2e,48,595000
keller-williams-1-34_1_32-174014,Appartement,3,Sentier,75,971000
apimo-85137819,Appartement,2,Montorgueil,38,535000
ag755800-438288428,Appartement,2,Montorgueil,55,630000
iad-france-1656587,Appartement,2,Sentier,39,460000
apimo-85240276,Appartement,5,Montorgueil,140,2520000
immo-facile-56224085,Appartement,3,Gaillon,62,850000
iad-france-1654137,Appartement,1,Montorgueil,38,466000
ag311656-437459231,Appartement,4,Montorgueil,142,1590000
apimo-85165070,Appartement,2,Gaillon,45,670000
apimo-85184536,Appartement,2,Gaillon,72,995000
immo-facile-56310777,Appartement,3,Sentier,116,1850000
immo-facile-56351822,Appartement,1,Montorgueil,35,457000
ag753296-434431922,Appartement,1,Sentier,24,265000
laforet-immo-facile-22270776,Appartement,4,Gaillon,78,925000
keller-williams-1-34_1_32-169779,Appartement,2,Montorgueil,41,530000
century-21-202_442_3898,Appartement,1,Montorgueil,24,294800
century-21-202_2986_7419,Appartement,1,Sentier,16,175000
apimo-85063096,Appartement,1,Sentier,20,270000
apimo-1681302,Appartement,1,Gaillon,15,249000
hektor-NOHIL_1-151,Appartement,2,Montorgueil,35,455000
apimo-85048089,Appartement,2,Montorgueil,26,450000
apimo-84948053,Appartement,3,Montorgueil,95,1350000
ag952031-425597122,Appartement,3,Montorgueil,83,1049000
apimo-84905061,Appartement,4,Sentier,90,899000
apimo-84868304,Appartement,2,Montorgueil,35,463200
immo-facile-55807282,Appartement,2,Montorgueil,38,466400
keller-williams-1-34_1_32-164480,Duplex,4,Montorgueil,158,1115000
apimo-84673165,Appartement,5,Gaillon,99,1430000
immo-facile-55760185,Appartement,1,Montorgueil,9,85000
apimo-84484898,Appartement,4,Gaillon,142,2090000
apimo-84524413,Appartement,4,Gaillon,132,1190000
apimo-84631059,Appartement,2,Montorgueil,26,315000
apimo-84301771,Appartement,3,Sentier,48,529000
keller-williams-1-34_1_32-163559,Appartement,3,Montorgueil,70,840000
apimo-84586828,Appartement,1,Sentier,30,470000
safti-1-1267883,Appartement,4,Montorgueil,88,899000
ag755216-419522821,Appartement,3,Sentier,56,680000
hektor-PARISLUXURYHOMES-3413,Appartement,6,Montorgueil,115,2950000
laforet-immo-facile-22084696,Appartement,1,Gaillon,15,150000
keller-williams-1-34_1_32-160910,Appartement,2,Montorgueil,62,740000
apimo-84328008,Appartement,2,Montorgueil,27,315000
apimo-84328345,Appartement,3,Montorgueil,57,715000
apimo-84285766,Appartement,2,Gaillon,43,560000
apimo-84191939,Appartement,2,Sentier,32,374000
ag755800-413719946,Appartement,2,Sentier,31,357000
guy-hoquet-immo-facile-6801336,Appartement,2,Montorgueil,35,460000
safti-1-1207245,Appartement,2,Montorgueil,26,454000
apimo-83781147,Appartement,3,Montorgueil,87,1100000
apimo-83387610,Appartement,5,Gaillon,111,2392000
apimo-83402731,Appartement,3,Montorgueil,36,598000
immo-facile-53608173,Appartement,2,Gaillon,43,550000
hektor-lagenceparisienne-2033,Appartement,1,Sentier,21,269500
apimo-82329136,Appartement,5,Montorgueil,125,1195000
apimo-8138857,Appartement,4,Gaillon,78,899000
hektor-310_iparticuliersadmin-18320,Appartement,1,Sentier,10,138000
apimo-6348953,Appartement,2,Montorgueil,35,430000
nexity-GB00190656,Appartement,2,Arts-et-Métiers,23,290000
guy-hoquet-immo-facile-6864938,Appartement,2,Sainte-Avoye,37,436500
apimo-85491076,Appartement,4,Archives,92,1100000
ag756465-449115074,Appartement,5,75003 Paris 3e,130,1490000
immo-facile-57191582,Appartement,1,Arts-et-Métiers,43,550000
hektor-Nolwen-Vivant-1562,Appartement,2,Sainte-Avoye,55,650000
ag922730-448989881,Appartement,3,Archives,73,1090000
gedeon-30284607,Appartement,2,Arts-et-Métiers,45,550000
ag754594-448898387,Appartement,3,75003 Paris 3e,64,699000
ag756771-448399409,Appartement,2,Archives,35,495000
apimo-85470663,Appartement,3,Archives,67,950000
hektor-br-immobilier-4338,Appartement,2,Arts-et-Métiers,32,400000
ag753643-448197530,Appartement,5,Arts-et-Métiers,127,1287500
ag756444-448279838,Appartement,1,Enfants Rouges,13,149000
immo-facile-57390110,Appartement,5,Sainte-Avoye,141,1595000
immo-facile-57397926,Appartement,5,Enfants Rouges,93,1635000
keller-williams-1-34_1_73-176045,Appartement,2,Archives,43,620000
laforet-immo-facile-22438979,Appartement,3,Sainte-Avoye,39,455000
laforet-immo-facile-22420699,Appartement,4,Enfants Rouges,91,999990
era-2-56178411,Appartement,1,Sainte-Avoye,15,190000
apimo-85468569,Appartement,1,Archives,10,210000
ag754271-448132769,Appartement,5,Arts-et-Métiers,128,1287500
gedeon-30250884,Appartement,2,Arts-et-Métiers,45,550000
apimo-85467858,Appartement,2,Arts-et-Métiers,46,599000
hektor-SaintAmbroise-2346,Appartement,2,Archives,60,700000
laforet-immo-facile-22432157,Appartement,3,Sainte-Avoye,52,630000
netty-company34605jrw-appt-3779,Appartement,4,Arts-et-Métiers,83,1365000
era-2-52921225,Appartement,3,Arts-et-Métiers,50,676000
keller-williams-1-34_1_32-180516,Appartement,2,Sainte-Avoye,26,333900
apimo-85465588,Appartement,3,Arts-et-Métiers,95,1990000
ag756771-447915917,Maison,6,75003 Paris 3e,302,2990000
guy-hoquet-immo-facile-7171608,Appartement,3,Sainte-Avoye,77,1250000
ag755942-447770465,Appartement,2,Enfants Rouges,42,645000
apimo-85461864,Appartement,1,Enfants Rouges,15,198924
laforet-immo-facile-22432824,Appartement,1,Arts-et-Métiers,34,320000
laforet-immo-facile-22421736,Appartement,3,Archives,63,998000
laforet-immo-facile-22431617,Appartement,5,Enfants Rouges,145,1490000
hektor-dafimmo-761,Appartement,2,Arts-et-Métiers,38,435000
iad-france-1702469,Appartement,3,Arts-et-Métiers,57,690000
ag756465-446980808,Appartement,4,République,68,665000
ag756465-446980799,Appartement,5,République,96,920000
immo-facile-57171116,Appartement,3,Enfants Rouges,62,997500
apimo-85449362,Appartement,2,Sainte-Avoye,42,509600
netty-loftappart-appt-3079,Appartement,1,Sainte-Avoye,7,60000
netty-robert-appt-4127,Appartement,3,Arts-et-Métiers,51,699000
guy-hoquet-immo-facile-7159823,Appartement,2,Arts-et-Métiers,44,550000
apimo-85336203,Appartement,5,Enfants Rouges,117,1750000
ag753296-446436743,Appartement,2,Sainte-Avoye,39,500000
immo-facile-57204314,Appartement,1,Sainte-Avoye,30,260000
immo-facile-57192888,Appartement,1,Arts-et-Métiers,28,333333
ag756375-446298932,Appartement,2,Sainte-Avoye,44,730000
ag756375-446295356,Appartement,5,Sainte-Avoye,160,2475000
apimo-84089625,Appartement,1,Enfants Rouges,26,320000
apimo-85426212,Appartement,5,Archives,137,1560000
ag756375-446212877,Appartement,4,Sainte-Avoye,103,1635000
immo-facile-56514553,Appartement,3,Sainte-Avoye,99,1250000
hektor-br-immobilier-4264,Appartement,5,Arts-et-Métiers,100,1350000
hektor-hetbimmo75003-2303,Appartement,5,Arts-et-Métiers,100,1350000
hektor-progessimmo-208,Appartement,1,Arts-et-Métiers,21,219000
guy-hoquet-immo-facile-7155114,Appartement,1,Archives,10,144000
century-21-202_2651_31452,Appartement,4,Arts-et-Métiers,110,1390000
iad-france-1694611,Appartement,4,Arts-et-Métiers,81,1050000
apimo-85315345,Appartement,3,Archives,77,990000
ag755464-445295198,Appartement,4,Arts-et-Métiers,114,1350000
apimo-85093222,Appartement,3,Archives,123,1790000
ag750129-445043633,Appartement,2,Archives,38,496000
ag753296-445083416,Appartement,1,Enfants Rouges,31,430000
apimo-85407105,Appartement,1,Archives,29,395000
immo-facile-57138556,Appartement,4,Arts-et-Métiers,89,1150000
ag756465-444801707,Studio,1,République,24,265000
hektor-hetbimmo75003-2019,Appartement,2,Arts-et-Métiers,30,360000
laforet-immo-facile-22404442,Appartement,3,Enfants Rouges,69,630000
nexity-GB00189645,Appartement,2,Arts-et-Métiers,63,664000
immo-facile-57120821,Appartement,1,Sainte-Avoye,35,405000
apimo-85352224,Appartement,3,Enfants Rouges,91,1150000
hektor-SaintAmbroise-2274,Appartement,3,Archives,69,630000
gedeon-28072210,Appartement,2,75003 Paris 3e,21,288900
hektor-2_colletimmobiliermathieu-578,Appartement,2,Archives,55,678000
apimo-85321316,Appartement,2,Enfants Rouges,50,735000
laforet-immo-facile-22388355,Appartement,4,Sainte-Avoye,80,950000
guy-hoquet-immo-facile-7140068,Appartement,3,Sainte-Avoye,77,1200000
apimo-85283640,Appartement,2,Enfants Rouges,52,900000
laforet-immo-facile-22373038,Appartement,2,Arts-et-Métiers,34,370000
ag340369-442749062,Loft/atelier/surface,2,Sainte-Avoye,241,2990000
ladresse-1-adresse-13764696,Appartement,4,Enfants Rouges,79,999900
apimo-85317283,Appartement,1,Archives,17,225000
apimo-85314940,Appartement,1,Enfants Rouges,25,375000
ag754594-442632491,Studio,1,75003 Paris 3e,14,180000
ladresse-1-adresse-13725501,Appartement,2,Archives,54,997000
apimo-85304655,Appartement,2,Sainte-Avoye,55,710000
apimo-84681849,Appartement,3,Sainte-Avoye,39,455000
dr-house-immo-1-172476,Appartement,1,Enfants Rouges,17,225000
hektor-ARCENCIEL-22514,Duplex,4,Archives,105,1957000
iad-france-1676596,Duplex,2,Archives,86,850000
ag752647-434356919,Duplex,3,Sainte-Avoye,241,3150000
iad-france-1671437,Studio,1,Arts-et-Métiers,17,215000
immo-facile-56976609,Appartement,2,Arts-et-Métiers,40,485000
immo-facile-56942411,Appartement,3,Archives,65,670000
ag334850-441652550,Appartement,4,Arts-et-Métiers,90,1080000
immo-facile-56941454,Appartement,2,Archives,44,570000
ladresse-1-adresse-13689070,Appartement,2,Archives,31,462000
immo-facile-56937172,Appartement,3,Arts-et-Métiers,55,710000
hektor-dafimmo-749,Appartement,3,Arts-et-Métiers,50,606000
apimo-85294604,Appartement,2,Sainte-Avoye,55,690000
hektor-ib-transac-2888,Appartement,1,Sainte-Avoye,26,298000
hektor-2_colletimmobiliermathieu-683,Appartement,2,Enfants Rouges,27,312000
hektor-conceptparis-1817,Appartement,3,Enfants Rouges,60,820000
apimo-85255470,Appartement,1,Enfants Rouges,26,320000
adapt-immo-130073709,Appartement,2,Sainte-Avoye,62,659000
ag753554-439322540,Appartement,1,Enfants Rouges,23,315000
ag755942-439184768,Appartement,2,Arts-et-Métiers,38,410000
apimo-85262101,Appartement,3,Enfants Rouges,73,619000
hektor-ARCENCIEL-21661,Appartement,2,Enfants Rouges,26,312000
apimo-84126713,Appartement,4,Sainte-Avoye,116,1800000
ladresse-1-adresse-13720231,Appartement,3,Enfants Rouges,69,630000
hektor-Les-4-Quartiers-325,Appartement,2,Enfants Rouges,41,650000
apimo-85170347,Appartement,3,Enfants Rouges,64,970000
apimo-85243515,Appartement,2,Arts-et-Métiers,68,860000
ag060811-437560409,Appartement,3,Arts-et-Métiers,73,798000
ag753296-437123132,Appartement,3,Arts-et-Métiers,63,750000
apimo-85125006,Appartement,2,Archives,28,450000
nexity-GB00194578,Appartement,1,Enfants Rouges,38,364000
iad-france-1647153,Appartement,7,Arts-et-Métiers,188,2350000
apimo-85084753,Appartement,2,Sainte-Avoye,53,750000
apimo-85102950,Appartement,2,Archives,51,525000
apimo-85060763,Appartement,1,Archives,21,315000
guy-hoquet-immo-facile-7051188,Appartement,2,Arts-et-Métiers,28,450000
netty-facilitim-appt-2386,Appartement,3,Enfants Rouges,34,399640
ag756341-431507690,Appartement,2,Archives,45,550000
iad-france-1628387,Appartement,2,Sainte-Avoye,55,669000
ag752451-430946318,Appartement,3,Arts-et-Métiers,67,299000
apimo-85061411,Appartement,2,Arts-et-Métiers,28,450000
era-2-52744190,Appartement,4,Sainte-Avoye,80,950000
iad-france-1625792,Studio,1,Archives,33,480000
apimo-85020215,Appartement,3,Archives,68,1290000
apimo-85062163,Appartement,4,Sainte-Avoye,89,1100000
ag755942-429688019,Appartement,2,Sainte-Avoye,56,670000
hektor-br-immobilier-3813,Appartement,2,Sainte-Avoye,55,665000
immo-facile-56084654,Maison,7,Archives,368,4870000
keller-williams-1-34_1_32-168814,Appartement,1,Sainte-Avoye,26,399000
immo-facile-56005458,Appartement,5,Enfants Rouges,89,1349250
ag340369-428276114,Appartement,2,Sainte-Avoye,55,670000
hektor-170_noovimo-19660,Appartement,2,75003 Paris 3e,32,418000
hektor-vondekayimmobilier-1,Duplex,5,Enfants Rouges,140,1650000
apimo-84959310,Appartement,2,Enfants Rouges,49,556500
immo-facile-55997206,Appartement,1,Arts-et-Métiers,17,225000
apimo-84920116,Appartement,1,Archives,25,380000
apimo-84808419,Appartement,5,Archives,162,1790000
hektor-9_DVIMMO2024-32821,Appartement,4,Arts-et-Métiers,100,949000
hektor-transopera-4011,Appartement,3,Sainte-Avoye,52,670000
apimo-84616664,Appartement,4,Sainte-Avoye,98,1250000
apimo-84118476,Appartement,5,Enfants Rouges,150,2790000
iad-france-1583686,Appartement,2,Arts-et-Métiers,30,360000
apimo-84675819,Appartement,7,Archives,173,4870000
iad-france-1584360,Studio,1,Enfants Rouges,16,260000
apimo-84538559,Appartement,1,Archives,29,575000
immo-facile-55749875,Appartement,2,Sainte-Avoye,40,479000
laforet-immo-facile-22146012,Appartement,1,Enfants Rouges,26,466000
safti-1-770982,Appartement,3,Arts-et-Métiers,68,849000
legget-PRO26V4JVM2N,Appartement,6,Archives,237,4800000
guy-hoquet-immo-facile-6869611,Appartement,1,Arts-et-Métiers,12,190000
apimo-84414123,Appartement,3,Archives,80,1185000
laforet-immo-facile-22088740,Appartement,2,Enfants Rouges,35,430000
apimo-84370437,Appartement,1,Enfants Rouges,26,430000
legget-PROS32S78ETV,Appartement,2,Archives,50,650000
apimo-84320275,Appartement,2,Arts-et-Métiers,40,575000
ag756341-414744765,Appartement,2,Enfants Rouges,44,460000
century-21-202_3048_26951,Appartement,2,Sainte-Avoye,45,519000
immo-facile-55179347,Appartement,2,Archives,66,950000
ladresse-1-adresse-13454615,Appartement,1,Sainte-Avoye,23,280000
apimo-83808744,Appartement,3,Sainte-Avoye,98,1050000
hektor-henri4immo-459,Appartement,1,Enfants Rouges,15,148500
